"Date","RegionID","RegionName","State","Metro","County","City","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2017-04-30,88989,"71263","LA",,"West Carroll","Oak Grove",8477,83700,0.0072202166064982,0.0232273838630807,0.0926892950391645,0.0189528710355535,,"2017-04","2017-Q2",83700,0,"2017-04"
2017-04-30,65662,"18954","PA","Philadelphia","Bucks","Richboro",8478,429700,-0.000930016275284817,-0.0020901068276823,0.0321883257266394,0.0237052586082511,-0.00429518233613002,"2007-05","2007-Q2",449000,-0.0429844097995546,"2005-08"
2017-04-30,60881,"07945","NJ","New York","Morris","Mendham Township",8479,685400,0.00646108663729809,0.013905325443787,-0.0187544738725841,0.0199631653212184,-0.0140901657678748,"2006-05","2006-Q2",844900,-0.188779737247011,"2004-05"
2017-04-30,95211,"86440","AZ","Lake Havasu City","Mohave","Mohave Valley",8480,158600,0.00252844500632111,0.0108349267049076,0.0587449933244326,0.0780901066337303,-0.0295600839945702,"2006-08","2006-Q3",229400,-0.308631211857018,"2004-11"
2017-04-30,79344,"48734","MI","Saginaw","Saginaw","Frankenmuth",8481,170100,0.00294811320754717,0.00531914893617021,0.0340425531914894,0.0555672910299971,0.00513939695607002,"2004-06","2004-Q2",176000,-0.0335227272727273,"2003-04"
2017-04-30,99334,"97496","OR","Roseburg","Douglas","Winston",8482,161000,0.019632678910703,0.0634081902245707,0.189069423929099,0.0754721236246245,0.00886449752520169,"2017-04","2017-Q2",161000,0,"2017-04"
2017-04-30,62269,"11797","NY","New York","Nassau","Woodbury",8483,992000,-0.00221283443975055,-0.00201207243460765,0.0733607444276131,0.0312340840437084,-0.00361652716117278,"2006-06","2006-Q2",1044400,-0.0501723477594791,"2005-09"
2017-04-30,69578,"27882","NC","Rocky Mount","Nash","Spring Hope",8484,116200,0.0113141862489121,0.042152466367713,0.0301418439716312,0.0355027630762295,0.0068798251525275,"2009-02","2009-Q1",116900,-0.00598802395209581,"2009-02"
2017-04-30,93820,"81621","CO","Edwards","Eagle","Basalt",8485,620400,0.0105880436553185,0.0222441917943648,0.0398927254441837,0.0732399882483086,-0.00186657359827425,"2008-04","2008-Q2",760600,-0.184328161977386,"2007-03"
2017-04-30,82116,"55115","MN","Minneapolis-St Paul","Washington","Mahtomedi",8486,325500,0.00153846153846154,0.0102420856610801,0.0717813631873559,0.0654274644639228,0.00492335978772362,"2006-01","2006-Q1",326200,-0.00214592274678112,"2005-11"
2017-04-30,89036,"71343","LA",,"Catahoula","Jonesville",8487,84400,0.00956937799043062,0.0305250305250305,0.10761154855643,0.0241701779521137,,"2017-04","2017-Q2",84400,0,"2017-04"
2017-04-30,63820,"14903","NY","Elmira","Chemung","Town of Elmira",8488,87800,0.015028901734104,0.0402843601895735,0.0733496332518337,0.00793009778380616,0.0150729905149001,"2012-10","2012-Q4",88600,-0.0090293453724605,"2012-08"
2017-04-30,399732,"86315","AZ","Prescott","Yavapai","Prescott Valley",8489,292700,0.00411663807890223,0.00965850293204553,0.0897244973938943,0.0850655552898223,-0.00661957494133636,"2006-08","2006-Q3",315200,-0.0713832487309645,"2005-11"
2017-04-30,99895,"98589","WA","Olympia","Thurston","Tenino",8490,263900,0.00917782026768642,0.0373427672955975,0.105571847507331,0.0524263175400452,0.00164417604561828,"2017-04","2017-Q2",263900,0,"2017-04"
2017-04-30,63619,"14589","NY","Rochester","Wayne","Williamson",8491,123000,0.00985221674876847,0.0301507537688442,0.0441426146010187,0.0171039328104778,0.0161419544552739,"2017-04","2017-Q2",123000,0,"2017-04"
2017-04-30,65211,"17842","PA","Selinsgrove","Snyder","Franklin Township",8492,158500,-0.00875547217010632,-0.0388114008489994,0.0192926045016077,0.0563514771092011,0.0255978963205894,"2016-12","2016-Q4",166400,-0.0474759615384615,"2016-10"
2017-04-30,91460,"76539","TX","Killeen","Lampasas","Kempner",8493,182000,0.00386100386100386,0.0253521126760563,0.102362204724409,0.0290771591336958,0.0047943651347695,"2009-05","2009-Q2",191300,-0.0486147412441192,"2009-01"
2017-04-30,60955,"08065","NJ","Philadelphia","Burlington","Palmyra",8494,156000,-0.00255754475703325,-0.00383141762452107,0.0455764075067024,0.00389116818450441,-0.0244912248568279,"2006-07","2006-Q3",200800,-0.223107569721116,"2004-06"
2017-04-30,98485,"95932","CA",,"Colusa","Colusa",8495,208800,0.00626506024096385,0.053481331987891,0.168438724118635,0.10472396270698,-0.0316803977722171,"2006-05","2006-Q2",312700,-0.332267348896706,"2003-12"
2017-04-30,76739,"43543","OH",,"Williams","Montpelier",8496,84200,0.00477326968973747,0.023086269744836,0.0511860174781523,0.0554076158060266,-0.00372308819789102,"2005-09","2005-Q3",89600,-0.0602678571428571,"2005-04"
2017-04-30,96573,"91978","CA","San Diego","San Diego","Spring Valley",8497,489300,0.00803461063040791,0.0140932642487047,0.0464071856287425,0.0850711848132926,-0.0000408655325301321,"2005-10","2005-Q4",531100,-0.0787045754095274,"2004-09"
2017-04-30,58439,"01590","MA","Worcester","Worcester","Sutton",8498,350900,-0.00679309368808378,-0.00199089874857793,0.064623786407767,0.036794773644572,0.00158106024755322,"2005-10","2005-Q4",377900,-0.0714474728764223,"2004-10"
