Pedestrian,Bicycle,AVSafetyPotential,FamiliarityTechnoology,ZipCode,FeelingsProvingGround
Not sure,Yes,Yes,Mostly familiar,15243,Approve
No,Not sure,Maybe,Somewhat familiar,15243,Somewhat Disapprove
No,Yes,Yes,Mostly Unfamiliar,15243,Somewhat Approve
Yes,Yes,Maybe,Mostly Unfamiliar,15243,Approve
No,No,Yes,Somewhat familiar,15243,Approve
Yes,No,Yes,Mostly Unfamiliar,15243,Approve
No,No,No,Mostly familiar,15260,Disapprove
Yes,Yes,Maybe,Somewhat familiar,15289,Somewhat Disapprove
No,Not sure,Not sure,Mostly Unfamiliar,15301,Somewhat Approve
No,No,No,Extremely familiar,15301,Disapprove
Not sure,Not sure,Maybe,Somewhat familiar,15317,Disapprove
No,No,Maybe,Not familiar at all,15317,Neutral
No,No,Yes,Somewhat familiar,15317,Approve
No,Yes,Yes,Somewhat familiar,15332,Approve
No,No,Yes,Mostly Unfamiliar,15332,Approve
No,No,Yes,Mostly familiar,15342,Somewhat Approve
No,No,Yes,Mostly familiar,15367,Approve
No,No,Maybe,Somewhat familiar,15367,Neutral
No,No,Yes,Mostly Unfamiliar,15473,Disapprove
No,Yes,Yes,Mostly familiar,15601,Approve
No,No,Yes,Mostly familiar,15601,Approve
No,No,No,Somewhat familiar,15601,Disapprove
No,Not sure,Maybe,Somewhat familiar,15602,Somewhat Approve
No,No,Yes,Somewhat familiar,15642,Approve
Not sure,Not sure,Maybe,Somewhat familiar,15642,Somewhat Disapprove
No,No,Yes,Somewhat familiar,15661,Somewhat Approve
No,No,Maybe,Mostly Unfamiliar,15668,Somewhat Approve
No,Not sure,Maybe,Mostly Unfamiliar,15668,Neutral
No,No,Maybe,Somewhat familiar,15668,Neutral
No,Yes,Yes,Somewhat familiar,15668,Approve
No,No,Yes,Somewhat familiar,15668,Somewhat Approve
No,No,Yes,Mostly Unfamiliar,15680,Approve
No,No,Yes,Somewhat familiar,15801,Approve
No,No,Maybe,Somewhat familiar,15864,Neutral
No,Yes,Not sure,Mostly Unfamiliar,16002,Approve
No,No,Not sure,Not familiar at all,16002,Approve
Yes,Yes,Yes,Extremely familiar,16002,Approve
No,No,Not sure,Somewhat familiar,16033,Somewhat Disapprove
Yes,Yes,Not sure,Extremely familiar,16046,Approve
No,Yes,Maybe,Mostly familiar,16059,Approve
Yes,Yes,Yes,Somewhat familiar,16066,Approve
No,No,Yes,Mostly Unfamiliar,16066,Somewhat Approve
No,No,Not sure,Mostly Unfamiliar,16066,Disapprove
No,No,Maybe,Mostly Unfamiliar,16066,Neutral
Not sure,Yes,No,Mostly Unfamiliar,16066,Disapprove
Not sure,Not sure,Yes,Somewhat familiar,16066,Approve
Yes,Yes,Yes,Somewhat familiar,16066,Approve
No,No,Yes,Extremely familiar,16105,Approve
No,No,No,Mostly familiar,16137,Disapprove
No,No,No,Somewhat familiar,16602,Disapprove
No,No,Maybe,Mostly Unfamiliar,17363,Somewhat Approve
No,No,Yes,Somewhat familiar,20001,Somewhat Approve
No,Yes,Yes,Somewhat familiar,20910,Somewhat Approve
No,No,Yes,Somewhat familiar,21740,Neutral
No,No,Yes,Mostly familiar,22301,Somewhat Approve
No,No,Yes,Extremely familiar,26003,Disapprove
No,No,Maybe,Not familiar at all,26003,Approve
Not sure,Not sure,Yes,Somewhat familiar,26501,Somewhat Approve
No,No,Not sure,Not familiar at all,94612,Disapprove
No,No,Maybe,Mostly familiar,97206,Disapprove
