PED,BIC,AVS,FTC,ZCD,POP,AHI,ZHV,ALB,APP
0,0,1,2,15204,9502,32859,72700,1899,4
1,1,1,3,15205,22586,38507,128700,5531,3
0,1,1,2,15205,22586,38507,128700,5531,3
1,1,1,3,15205,22586,38507,128700,5531,3
0,1,2,2,15205,22586,38507,128700,5531,4
0,0,1,2,15205,22586,38507,128700,5531,1
0,0,2,2,15205,22586,38507,128700,5531,2
1,1,1,2,15205,22586,38507,128700,5531,3
0,0,2,2,15205,22586,38507,128700,5531,4
0,0,1,2,15206,32482,28517,165800,6623,4
1,0,1,2,15206,32482,28517,165800,6623,4
0,1,2,1,15206,32482,28517,165800,6623,2
0,0,1,3,15206,32482,28517,165800,6623,2
0,1,1,2,15206,32482,28517,165800,6623,4
1,1,2,1,15206,32482,28517,165800,6623,1
0,1,2,2,15206,32482,28517,165800,6623,2
1,0,1,3,15206,32482,28517,165800,6623,2
1,0,2,1,15206,32482,28517,165800,6623,2
1,1,2,2,15206,32482,28517,165800,6623,0
1,1,0,2,15206,32482,28517,165800,6623,0
1,0,1,2,15206,32482,28517,165800,6623,4
2,1,2,2,15206,32482,28517,165800,6623,1
1,1,1,1,15206,32482,28517,165800,6623,4
1,1,1,2,15206,32482,28517,165800,6623,3
1,1,1,3,15206,32482,28517,165800,6623,3
1,1,2,3,15206,32482,28517,165800,6623,4
1,1,1,2,15206,32482,28517,165800,6623,4
0,1,1,2,15206,32482,28517,165800,6623,3
1,1,2,1,15206,32482,28517,165800,6623,1
1,2,1,0,15206,32482,28517,165800,6623,4
1,1,1,1,15206,32482,28517,165800,6623,4
0,1,1,2,15206,32482,28517,165800,6623,4
1,0,1,1,15206,32482,28517,165800,6623,1
1,1,1,3,15206,32482,28517,165800,6623,4
0,0,1,1,15206,32482,28517,165800,6623,2
1,1,1,1,15206,32482,28517,165800,6623,4
1,1,1,3,15206,32482,28517,165800,6623,4
0,1,1,3,15206,32482,28517,165800,6623,4
0,1,2,2,15206,32482,28517,165800,6623,4
0,1,1,3,15206,32482,28517,165800,6623,4
1,1,0,3,15206,32482,28517,165800,6623,0
1,1,1,3,15206,32482,28517,165800,6623,3
0,1,2,2,15206,32482,28517,165800,6623,3
1,1,1,3,15206,32482,28517,165800,6623,4
1,1,1,3,15206,32482,28517,165800,6623,4
0,1,1,0,15206,32482,28517,165800,6623,4
0,1,2,2,15206,32482,28517,165800,6623,1
0,1,1,1,15206,32482,28517,165800,6623,4
0,1,1,4,15206,32482,28517,165800,6623,4
1,1,1,2,15206,32482,28517,165800,6623,4
1,0,2,0,15206,32482,28517,165800,6623,2
0,0,1,1,15206,32482,28517,165800,6623,2
0,0,2,2,15206,32482,28517,165800,6623,3
2,2,2,1,15206,32482,28517,165800,6623,3
0,0,1,3,15206,32482,28517,165800,6623,4
0,0,1,3,15206,32482,28517,165800,6623,4
0,2,1,1,15206,32482,28517,165800,6623,2
0,0,1,1,15206,32482,28517,165800,6623,2
1,1,2,2,15206,32482,28517,165800,6623,2
0,0,2,1,15206,32482,28517,165800,6623,1
0,0,1,3,15206,32482,28517,165800,6623,3
0,1,1,2,15206,32482,28517,165800,6623,2
0,0,1,3,15206,32482,28517,165800,6623,4
0,1,1,2,15206,32482,28517,165800,6623,4
0,0,2,2,15206,32482,28517,165800,6623,3
0,1,1,0,15206,32482,28517,165800,6623,3
0,0,1,4,15206,32482,28517,165800,6623,4
0,0,0,4,15206,32482,28517,165800,6623,0
0,0,2,2,15206,32482,28517,165800,6623,3
2,2,1,1,15206,32482,28517,165800,6623,3
0,0,2,0,15206,32482,28517,165800,6623,3
0,1,2,2,15206,32482,28517,165800,6623,0
0,0,1,1,15206,32482,28517,165800,6623,4
1,0,1,1,15206,32482,28517,165800,6623,0
1,1,1,2,15206,32482,28517,165800,6623,3
1,1,1,3,15206,32482,28517,165800,6623,4
1,0,1,2,15206,32482,28517,165800,6623,1
1,1,1,2,15206,32482,28517,165800,6623,3
0,1,1,4,15206,32482,28517,165800,6623,3
1,0,1,2,15206,32482,28517,165800,6623,2
1,1,1,3,15206,32482,28517,165800,6623,3
1,1,1,2,15206,32482,28517,165800,6623,4
1,0,1,2,15206,32482,28517,165800,6623,4
1,1,1,1,15206,32482,28517,165800,6623,3
1,0,2,1,15206,32482,28517,165800,6623,4
1,0,1,3,15206,32482,28517,165800,6623,4
1,0,1,1,15206,32482,28517,165800,6623,3
0,1,1,4,15206,32482,28517,165800,6623,4
1,1,2,1,15206,32482,28517,165800,6623,2
1,1,1,0,15206,32482,28517,165800,6623,2
2,1,1,3,15206,32482,28517,165800,6623,4
1,0,2,1,15206,32482,28517,165800,6623,4
1,1,1,4,15206,32482,28517,165800,6623,3
0,0,2,3,15206,32482,28517,165800,6623,4
0,0,2,1,15206,32482,28517,165800,6623,4
1,0,0,2,15206,32482,28517,165800,6623,1
1,0,1,4,15206,32482,28517,165800,6623,4
0,0,2,0,15206,32482,28517,165800,6623,2
2,2,2,0,15206,32482,28517,165800,6623,1
